hs4,gnn_logit,gnn_score,score,density,pci,cog,complexity_gain,section,rank,global_demand_value,global_demand_growth,global_market_concentration,historical_active_years,historical_export_persistence,supply_capacity,gnn_logit_percentile,gnn_score_percentile,density_percentile,pci_percentile,cog_percentile,global_demand_value_percentile,global_demand_growth_percentile,supply_capacity_percentile,adamic_adar,jaccard,cn,pref_attach,ranking_score,predicted_probability,probability_lower,probability_upper,average_rank,rank_std,rank_stability,ensemble_score,ensemble_rank,ensemble_method
8448,0.280993,0.569790,0.018597,0.106277,3.712167,1.282128,,84,62,5186387730.000000,-0.003895,0.091701,19.000000,19.000000,686694105,0.064550,0.064550,0.289947,0.942857,0.977778,0.631746,0.386243,0.879894,,,,,-249.333951,0.018597,0.015917,0.020450,68.952381,20.027306,0.047557,0.018597,62,validation_pairwise_bootstrap
6914,0.302109,0.574958,0.018728,0.133672,1.127196,0.601820,,69,63,1772179277.000000,-0.015006,0.152726,18.000000,17.000000,15119334,0.388360,0.388360,0.660317,0.446561,0.523810,0.415873,0.312169,0.580952,,,,,-249.335783,0.018728,0.017828,0.019539,67.000000,10.923980,0.083865,0.018728,63,validation_pairwise_bootstrap
4013,0.297209,0.573760,0.018461,0.122722,0.649833,0.403446,,40,64,1089683005.000000,-0.065251,0.204196,17.000000,15.000000,11659590,0.287831,0.287831,0.531217,0.348148,0.368254,0.316402,0.097354,0.517460,,,,,-249.350918,0.018461,0.016549,0.020269,70.619048,17.629726,0.053678,0.018461,64,validation_pairwise_bootstrap
8454,0.281217,0.569845,0.018324,0.106985,3.169506,1.151785,,84,65,2811929415.000000,-0.049164,0.106649,17.000000,15.000000,686694105,0.066667,0.066667,0.299471,0.882540,0.932275,0.510053,0.138624,0.879894,,,,,-249.359626,0.018324,0.015980,0.020253,72.428571,20.895594,0.045671,0.018324,65,validation_pairwise_bootstrap
7323,0.299417,0.574300,0.018299,0.134681,0.246472,0.242377,,73,66,11410790362.000000,0.019732,0.356677,19.000000,19.000000,234437714,0.321693,0.321693,0.669841,0.279365,0.260317,0.769312,0.652910,0.806878,,,,,-249.364347,0.018299,0.015360,0.020491,73.238095,22.511171,0.042533,0.018299,66,validation_pairwise_bootstrap
8437,0.323605,0.580203,0.018450,0.127132,1.089163,0.477831,,84,67,2069757015.000000,-0.033455,0.079536,17.000000,10.000000,686694105,0.796825,0.796825,0.586243,0.435979,0.422222,0.448677,0.205291,0.879894,,,,,-249.373236,0.018450,0.015846,0.020539,71.333333,18.385640,0.051585,0.018450,67,validation_pairwise_bootstrap
0407,0.329952,0.581748,0.018369,0.178217,0.182245,0.165987,,04,68,4005581446.000000,-0.012749,0.073717,18.000000,16.000000,7849105,0.873016,0.873016,0.957672,0.268783,0.217989,0.567196,0.324868,0.434392,,,,,-249.379906,0.018369,0.016771,0.019866,71.904762,9.903846,0.091711,0.018369,68,validation_pairwise_bootstrap
2712,0.304573,0.575560,0.018229,0.128951,0.934608,0.564706,,27,69,3244926619.000000,-0.054064,0.068057,17.000000,14.000000,98533078,0.443386,0.443386,0.607407,0.411640,0.495238,0.536508,0.124868,0.774603,,,,,-249.388621,0.018229,0.017033,0.019055,73.285714,11.178819,0.082110,0.018229,69,validation_pairwise_bootstrap
8410,0.321322,0.579646,0.018262,0.139461,0.717455,0.506527,,84,70,1142926864.000000,-0.116700,0.086518,15.000000,14.000000,686694105,0.772487,0.772487,0.725926,0.357672,0.451852,0.323810,0.026455,0.879894,,,,,-249.391429,0.018262,0.016649,0.019548,73.285714,15.368932,0.061091,0.018262,70,validation_pairwise_bootstrap
4105,0.337300,0.583534,0.018019,0.193646,-2.730984,-0.290320,,41,71,893205321.000000,-0.101254,0.069539,17.000000,16.000000,5423196,0.925926,0.925926,0.995767,0.028571,0.033862,0.278307,0.040212,0.324868,0.000000,0.000000,0.000000,113880.000000,-249.391915,0.018019,0.014808,0.021297,77.761905,28.253790,0.034184,0.018019,71,validation_pairwise_bootstrap
